retail,ASIN,weight,dim,selling,channel
39.99,B000YPQPSW,22.12997556,5.15672216,9.960000038,1
21.99,B013JOAWMY,1.25001954,2.570019711,9.970000267,1
30,B000CO86EG,8.52967478,1.695493017,9.979999542,1
14.67,B003CIXLJ4,1.32056738,2.933088775,9.979999542,1
24.99,B0751HVHG8,1.99959034,2.82991921,9.989999771,1
24.99,B000KYQ70I,6.64913392,4.043368899,9.989999771,1
29.99,B00B9BFRM0,1.84967618,4.101758483,10,1
19.99,B073Q7YX3Y,0.14770954,0.452629027,10,1
19.99,B073Q95NS8,0.13668644,0.397312579,10,1
19.99,B07V5DK4M3,0.89948496,8.297906142,10,1
25,B089M18Q1K,0.48722102,0.872331596,10,1
20,B072J37MQJ,1.79896992,12.73507546,10.05000019,1
32.84,B01K995TDO,0.03968316,0.208973246,10.07999992,1
32.68,B01K995XPI,0.0992079,0.303801442,10.07999992,1
32.81,B00114YL8G,0.24912206,0.314337908,10.09000015,1
30.49,B07FNPJB3R,20.54926302,2.745627481,10.10000038,1
19.99,B00313WE9S,0.59965664,1.584860122,10.13000011,1
21.98,B016DYY5TI,2.83955056,0.413556298,10.14999962,1
34,B005STRN3U,9.149173,8.434880202,10.15999985,1
24.92,B01L9P045K,1.00089748,8.233370286,10.19999981,1
16.49,B07MVW6CMG,0.7495708,11.35699349,10.19999981,1
23.6,B07FWCF6GX,0.70106916,0.889014335,10.25,1
18.99,B00HHED202,4.64954358,1.191498718,10.27000046,1
27.99,B07Z8DVYWH,2.40083118,16.95361311,10.27000046,1
36.82,B001D0CFAY,0.16975574,0.072877224,10.30000019,1
34.1,B00402C1BA,0.17196036,0.202826974,10.30000019,1
29.99,B01498R7GI,2.25091702,4.421364624,10.30000019,1
20.99,B00PP7AFF8,2.74916114,5.342866396,10.31000042,1
32.99,B00P2ZBWRS,21.60086676,7.334697524,10.31000042,1
20.43,B013JL05O2,5.6989427,2.472557399,10.32999992,1
30,B013JL05QA,5.3131342,2.36455862,10.38000011,1
19.99,B00921CILW,5.14999232,0.962769598,10.38000011,1
16.99,B003CUPT3S,0.0992079,0.121608381,10.43000031,1
23,B00DX8G47O,1.75046828,0.466238629,10.47999954,1
21.99,B07BF7F2PN,0.80027706,7.127919376,10.47999954,1
29.99,B07NXY4VZS,1.84967618,8.016055671,10.57999992,1
21.19,B0897ZC74W,2.78002582,2.453679563,10.59000015,1
21.78,B003YL8GMQ,0.39903622,0.761259682,10.63000011,1
32.99,B07F1RGQTR,21.32528926,3.088501651,10.64000034,1
21.99,B00DTWEP34,0.54895038,0.326630452,10.67000008,1
29.99,B07R8WJWD5,4.27916742,18.11306341,10.80000019,1
34.99,B0727Q5F94,21.75078092,4.742726842,10.86999989,1
24.99,B087R8VXFP,2.44933282,9.315992187,10.88000011,1
34.95,B000U9WXEC,5.00007816,11.29640881,10.89999962,1
20.7,B0711Y2NZZ,3.15040198,5.689691741,10.92000008,1
