ASIN,channel,retail,1m,weight,selling
B07KZ56XKG,0,30.24,404.4040599,0.95019122,9.3
B07YLLN6XR,0,82.02,45.7067513,0.54895038,25.22
B07G4RZGFY,0,42.28,468.4179212,1.95990718,13
B01M9GYBDE,0,12.49,11.7165504,0.9810559,3.84
B07FW2MCTT,0,30.26,472.4454854,1.11994696,9.3
B0797LDZHR,0,27.5,677.0579515,1.56968944,8.45
B071G6H36M,0,69.99,1140.044763,11.45079628,21.5
B00MTYT0J2,0,273.5,3617.179818,65.00101608,84
B001IMKZAE,0,551.91,10556.0627,96.5403098,169.4
B071VV4RJK,0,62.48,1067.853726,6.9004606,19.16
B000EMVK5S,0,417.77,14240.85677,101.0002561,128.11
B01LWT246J,1,82.84,1731.42544,4.90087026,25.4
B01N2UJWJ5,0,76.99,1498.681048,24.74906412,23.6
B003HN9XKA,0,546.96,8667.135087,37.00013746,167.59
B07QHM9V36,0,23.5,351.8626542,2.9541908,7.2
B008C2FZ2Q,0,290.21,6154.545264,79.99904594,88.88
B003070M44,0,401.66,9048.716283,62.00052826,123
B07D3ZF77N,0,42.48,546.8333757,1.95990718,13
B07CZBPF1B,0,96.24,564.8353672,5.74964896,29.45
B0759RW484,0,39.64,100.7501287,2.20021076,12.13
B07JNC6T9M,0,10.85,25.3858592,0.14109568,3.32
B07KQNBX3H,0,54.28,410.1402877,3.0644218,16.6
B079PQXG9W,1,35.99,658.445723,4.1998011,11
B07BDRBJDF,0,47.02,604.8669144,1.75046828,14.36
B07KQNKV6G,0,33.43,410.1402877,1.54984786,10.2
B000MOHJRQ,0,300,12629.52598,48.40022748,91.52
B07SYMLD5S,0,18.49,316.2858371,1.0802638,5.64
B07D3Z6LTB,0,33.44,547.382589,1.36025054,10.2
B00AIW1R7A,0,229.52,5549.739373,63.04992738,70
B07SJH2M8B,0,18.99,325.866558,1.984158,5.79
B008DSJBT2,0,229.81,6079.058947,65.99970894,70
B0716P7KQB,0,159.99,1188.497581,7.8484472,48.72
B074Q41LZV,0,9.99,857.2609376,0.6503629,3.04
B0728BP4ZX,0,37.99,1004.572149,25.60004744,11.56
B000UVVX28,0,687.09,12000.00549,60.00093792,209
B07MZHD8BP,0,51.34,385.3036418,3.80958336,15.61
B00HN9A4BG,0,109.95,4513.923089,28.10008652,33.42
B0049MRILE,0,526.44,7978.848775,25.0003908,160
B00MTYT48O,0,167.31,3616.569581,47.99898664,50.8
B07B41529T,0,33.61,633.8531719,1.3889106,10.2
B073RJTDQW,0,32.64,919.5661353,2.8219136,9.9
B00Q4MOS1,0,154.1,3378.272032,20.59996928,46.72
B07BBYWDDR,0,41.44,605.6602225,4.25050736,12.56
B07DRP4B3N,0,31.68,520.4101136,6.19939144,9.6
B07VC5KR57,0,22.61,299.8704618,10.251483,6.85
B001V2R0FO,0,476.38,9999.160411,77.15949538,144.3
B001DACRCA,0,71.58,10902.86038,15.7409868,21.68
B01D20PUJU,0,79.99,2313.408467,28.49912274,24.2
B006H428XK,0,274.06,6825.134703,94.45033004,82.88
B07MTNNK8K,0,62.83,387.9886846,0.86200642,19
B086T6N2WN,0,27.98,186.8545694,0.33951148,8.46
B07K8S27L4,0,31.99,418.6836057,14.1316142,9.67
B009FG7K6M,0,263.28,5739.156938,83.74910456,79.57
B07N1JFLQJ,0,33.75,384.3882863,1.26104264,10.2
B00U2NORZ4,0,40.54,3173.476495,3.04898946,12.25
B07M8YVPS3,0,30.78,396.5930263,1.06042222,9.3
B07KXPHM5L,0,28.1,404.8922495,1.25001954,8.49
B07VCPDTC6,0,21.92,299.1992011,0.9259404,6.62
B00E1AQED2,0,195.37,4984.659911,28.75044942,59
B008MXPA70,0,172.82,5952.373745,25.35092538,52.18
B07BCP72N4,0,24.99,605.1110092,6.75054644,7.54
B08KFLZDZF,0,37.93,144.015932,3.50975504,11.42
B07GZ56TC5,0,33.88,450.2938823,1.21033638,10.2
B00181B9TQ,0,19.23,131.3840261,0.6503629,5.78
B07D7JJ5KQ,0,33.94,541.7684086,1.56968944,10.2
B07DRJL9JN,0,33.94,521.752635,1.34040896,10.2
B07G29Q51X,0,33.94,470.6757981,1.34040896,10.2
B07DZW2DL1,0,68.66,514.5518384,4.40924,20.63
B07DKVR5Q1,0,33.95,529.5636686,1.5211878,10.2
B07F415BYQ,0,33.95,499.173866,1.4991416,10.2
B0785FGJQD,0,33.96,721.0560392,1.28088422,10.2
B081SJ7DKV,0,9.99,18.0019915,0.04629702,3
B00934G9RW,0,232.27,5818.304677,55.99955262,69.75
B07FD3Z753,0,14.99,486.969126,1.13978854,4.5
B07YXLMGBL,0,22.49,254.7739475,2.10100286,6.75
B00DX8G47O,0,129.99,5001.197334,32.39909552,39.01
B003Z7119O,0,381.88,8235.270362,57.0004501,114.6
B07DN8X8M6,0,33.99,524.3156304,1.54102938,10.2
B07VH5NBQ3,0,39.99,296.4531346,0.8377556,12
B01IDGA1LU,0,59.99,1979.181662,0.50044874,18
B07L4JCR8Z,0,59.99,402.6343726,1.79896992,18
B00TO39VQ8,0,38.13,114.7855797,1.84967618,11.44
B003TTV972,0,561,8444.459606,92.99969008,168.3
B0009H5SSI,0,597,16087.73905,89.99920226,179.1
B000B8PPCE,0,569,15141.38352,79.00035308,170.7
B000UTZ740,0,507,12040.40318,86.00002158,152.1
B000UV57DE,0,528,12040.40318,86.00002158,158.4
B0018D4658,0,478,11207.18558,77.9994556,143.4
B001GKGCXM,0,432,10672.25182,72.00068458,129.6
B002BA5EUI,0,432,9721.380529,67.00060642,129.6
B002BA5EZ8,0,428,9721.380529,67.00060642,128.4
B002BA5F4I,0,438,9721.380529,67.00060642,131.4
B002HDT9FK,0,370,9555.518112,42.00021562,111
B002OEW3TG,0,420,9337.541456,62.99922112,126
B002VFDY8W,0,393,9147.635701,60.00093792,117.9
B003070MH6,0,423,9048.716283,62.00052826,126.9
B003070MZI,0,406,9048.716283,62.00052826,121.8
B003GSUM5Q,0,495,8700.759146,62.00052826,148.5
B003YR4GXS,0,386,8235.270362,57.0004501,115.8
B003Z6YI3G,0,398,8235.270362,57.0004501,119.4
B004BE2ECS,0,432,7949.252281,72.00068458,129.6
B0050K0AAK,0,393,7423.227987,59.52033076,117.9
B005PPP7MQ,0,409,7105.904747,60.00093792,122.7
B0062BYQKQ,0,401,6948.219506,60.00093792,120.3
B0066AWQX2,0,423,6885.182024,62.00052826,126.9
B007IU7YQ8,0,376,6352.07898,57.0004501,112.8
B008FHJSVW,0,393,6029.751797,60.00093792,117.9
B00DQRV990,0,355,5024.508387,50.0007816,106.5
B00FYYB8O4,0,364,4695.590644,26.99998114,109.2
B07B41SLXX,0,34,625.5539487,1.51898318,10.2
B07BS1MKLJ,0,34,594.0046958,1.6093726,10.2
B07D21CLG5,0,34,548.9692052,1.32056738,10.2
B07D2VX28P,0,34,548.6640867,1.56968944,10.2
B07F42XDRG,0,34,496.732918,1.58953102,10.2
B07F6V9HCB,0,34,491.3628324,1.4109568,10.2
B07FMR78XX,0,34,478.5478554,1.26104264,10.2
B07GF2LRNC,0,34,461.2781483,1.4991416,10.2
B07JXYFRWK,0,34,423.9316439,1.26104264,10.2
B07KQP2L3N,0,34,410.1402877,1.54984786,10.2
B07KQP5D69,0,34,410.1402877,1.54984786,10.2
B01D1PIM14,0,168.31,2319.999027,42.69908016,50.46
B013JL05R4,1,95.03,2837.541026,15.69909902,28.49
B0757CG9B6,0,25.44,825.9557795,5.1367646,7.62
B000RYQ0CG,0,187,12153.54112,106.0003342,56
B07CN56J4W,0,21.61,570.1444291,11.7506246,6.47
B000GQ6LF6,0,578,13773.65933,121.8008458,173
B07QKBS4LG,0,31.08,350.7642276,0.8377556,9.3
B071LM76WL,0,55.48,1087.564381,0.89948496,16.6
B077XK6WXP,0,244.8,736.6781064,21.6493684,73.24
B01FR7AKTG,0,60,2168.599227,8.3996022,17.95
B000P583SQ,0,197.25,12372.06699,41.7995952,59
B002YT8G4C,0,449.6,9094.17894,99.00066572,134.47
B07F1MWR84,0,32.74,511.9278193,1.15081164,9.79
B0048KFHKQ,0,297.39,7996.118482,69.99888962,88.89
B00151USMS,0,299,11382.62871,32.24918136,89.29
B00427JALW,0,11.13,14.8287591,0.14991416,3.32
B01CVKL1B8,0,93.87,2327.260847,32.39909552,28
B01E1NI5WQ,0,40.24,2250.61508,9.19987926,12
B07QPHBM1Q,0,36.99,349.2386351,10.582176,11.03
B075V4DXTJ,0,57.83,787.9380144,11.0010538,17.24
B07D3NQL2G,0,39.99,547.6877075,24.59914996,11.92
B0855C429Z,0,13.76,198.4490724,0.31085142,4.1
